0,31,8,2015,The Naked Bee Vitmin C Moisturizing Sunscreen SPF 30 5.5 oz (163 ml.),Beauty,five stars love excellent sun block,10,0,BEAUTY
1,31,8,2015,Alba Botanica Sunless Tanning Lotion 4 Ounce,Beauty,thank alba bontanica great thing cream doesnt smell weird like chemical laden ones get nice healthy unfake looking tan isnt orange makes skin soft,10,0,BEAUTY
2,31,8,2015,Elysee Infusion Skin Therapy Elixir 2oz.,Beauty,five stars great product im 65 years old claims,10,0,BEAUTY
3,31,8,2015,Diane D722 Color Perm And Conditioner Processing Caps - 100-Pack - Clear,Beauty,good deal use shower caps conditioning caps like theyre bulk saves lot money,10,0,BEAUTY
4,31,8,2015,Biore UV Aqua Rich Watery Essence SPF50+/PA++++ (pack of 2),Beauty,soaks quick provides nice base makeup goto daily sunblock leaves white cast clean pleasant scent youre makeup wearer soaks quick provides nice base makeup ive using brand year daily use tube last couple months,10,0,BEAUTY
5,31,8,2015,Murad Clarifying Cleanser,Beauty,four stars good,8,0,BEAUTY
6,31,8,2015,CoverGirl Queen Collection Perfect Point Plus Eyeliner Black Onyx 200,Beauty,good buy great eyeliner run little bit corners times overall keep eyes day long,10,0,BEAUTY
7,31,8,2015,Bifesta Mandom Eye Makeup Remover 145ml,Beauty,five stars best makeup remover,10,0,BEAUTY
8,31,8,2015,Can You Handlebar All-Natural Secondary Moustache Wax : Extra Strength Firm Hold,Beauty,tame wild mustache great product im latest stab major beard always seem start growing hottest months mustache going particularly awkward phase growth wax really helps keep place way look neater actually eat drink without collecting big mess youre going get favor get good mustache comb,10,0,BEAUTY
9,31,8,2015,Maybelline Great Lash Washable Mascara Clear [110] 1 ea,Beauty,like nothing thought would darken lashes even though clear like nothing sadly threw away,2,0,BEAUTY
10,31,8,2015,12 New High Quality Amber 2 ml (5/8 Dram) Glass Bottles with Orifice Reducer and Black Cap.,Beauty,good product great small mixtures eos especially traveling gave 4 stars orifice reducer hole small hard get oil needs slightly bigger,8,1,BEAUTY
