1,4,2008
13,12,2008
30,10,2009
14,12,2009
18,1,2010
27,4,2010
8,5,2010
9,7,2010
18,8,2010
17,10,2010
3,1,2011
11,4,2011
7,5,2011
23,5,2011
24,6,2011
21,7,2011
1,9,2011
31,10,2011
20,2,2012
20,5,2012
17,8,2012
16,10,2012
11,2,2013
21,3,2013
18,4,2013
20,6,2013
6,7,2013
21,8,2013
9,1,2014
16,1,2014
3,4,2014
11,5,2014
4,6,2014
7,8,2014
10,8,2014
11,8,2014
22,8,2014
9,11,2014
31,12,2014
1,1,2015
14,3,2015
13,5,2015
1,6,2015
6,8,2015
20,8,2015
31,8,2015
1,9,2015
11,9,2015
18,9,2015
22,9,2015
14,10,2015
3,11,2015
4,11,2015
14,11,2015
15,11,2015
28,11,2015
14,12,2015
12,1,2016
13,2,2016
3,4,2016
27,4,2016
28,4,2016
27,5,2016
1,6,2016
19,6,2016
5,7,2016
6,7,2016
18,7,2016
9,8,2016
23,8,2016
21,9,2016
25,9,2016
13,10,2016
27,11,2016
8,12,2016
18,12,2016
27,12,2016
3,1,2017
12,1,2017
13,1,2017
19,1,2017
28,1,2017
2,3,2017
7,3,2017
9,3,2017
15,3,2017
23,3,2017
17,4,2017
24,4,2017
8,6,2017
29,6,2017
7,9,2017
16,9,2017
22,9,2017
5,10,2017
24,10,2017
26,10,2017
